                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0991,                 3.4766,                 4.1451,                0.00461,                0.93925,                0.29899,                0.05591,                 2.7435,                 3.7561,                 4.0413,             0.00054304,             0.00054304,             0.00054304
                      2,                 2.9815,                 3.2154,                 3.8336,                0.00344,                0.90187,                0.03451,                0.00725,                 2.8881,                 3.7634,                  3.645,              0.0010878,              0.0010878,              0.0010878
                      3,                  2.835,                 3.0642,                 3.5426,                0.07848,                0.43458,                0.06947,                0.02173,                 2.4034,                 34.129,                 4.5449,              0.0016216,              0.0016216,              0.0016216
                      4,                  2.596,                 2.9931,                 3.2579,                0.00347,                0.00935,                0.00059,                0.00011,                 4.6821,                 12.809,                 9.5599,              0.0016175,              0.0016175,              0.0016175
                      5,                 2.4531,                 2.9314,                 3.0643,                0.02624,                0.68692,                0.03071,                0.01018,                 2.3867,                  7.626,                  3.387,               0.001601,               0.001601,               0.001601
                      6,                  2.336,                 2.8297,                 2.9368,                0.01854,                0.63551,                0.01653,                0.00503,                 2.2113,                 38.737,                 3.5252,              0.0015845,              0.0015845,              0.0015845
                      7,                 2.1491,                  2.574,                 2.7213,                0.04783,                0.74766,                0.04655,                0.01372,                 1.9682,                 3.6788,                 3.0015,               0.001568,               0.001568,               0.001568
                      8,                 2.0725,                 2.3977,                 2.6389,                0.08693,                0.57944,                0.07405,                0.02159,                 2.0613,                 2.9757,                 3.0647,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.9989,                 2.3179,                 2.5404,                 0.0716,                0.50935,                0.05936,                0.01689,                  2.234,                 2.9418,                 3.1474,               0.001535,               0.001535,               0.001535
                     10,                 1.9634,                 2.2711,                 2.4985,                0.12429,                0.86449,                0.25628,                0.09556,                 1.7152,                  2.435,                 2.7452,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.9049,                 2.1998,                  2.419,                0.19032,                0.64486,                0.22346,                0.08959,                 1.8084,                 2.3384,                 2.7992,               0.001502,               0.001502,               0.001502
                     12,                 1.8757,                 2.1095,                 2.3888,                0.11167,                0.61682,                0.10269,                0.04199,                 1.8212,                 2.6956,                 2.7786,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.7973,                  2.079,                 2.3053,                0.14943,                0.79439,                0.15633,                0.06503,                 1.7359,                 2.3548,                 2.7455,               0.001469,               0.001469,               0.001469
                     14,                 1.8088,                 2.0987,                 2.3307,                0.19611,                0.81776,                 0.2342,                0.10022,                 1.8145,                 2.5708,                 2.7806,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.7904,                 2.0745,                 2.3032,                0.19996,                0.80374,                 0.2779,                0.10902,                 1.6753,                 2.1973,                 2.6103,               0.001436,               0.001436,               0.001436
                     16,                 1.7391,                 1.9835,                 2.2563,                0.21073,                0.76636,                0.24814,                0.10013,                  1.664,                 2.2294,                 2.6163,              0.0014195,              0.0014195,              0.0014195
                     17,                  1.709,                 1.9849,                 2.2406,                 0.2376,                0.80841,                0.31698,                 0.1214,                 1.7643,                 2.1656,                 2.6585,              0.0014029,              0.0014029,              0.0014029
                     18,                  1.639,                 1.9267,                 2.1808,                0.22624,                0.85514,                0.31898,                0.12383,                 1.6462,                 2.0032,                 2.5736,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.6326,                 1.8475,                 2.1454,                0.42006,                0.68224,                0.47751,                0.19227,                 1.5864,                 1.9029,                  2.482,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.6205,                 1.8314,                 2.1388,                0.47661,                0.78972,                0.60482,                0.24847,                 1.6469,                 1.7876,                  2.553,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.5551,                 1.7245,                 2.0982,                0.54528,                0.78037,                0.65865,                0.26566,                  1.604,                 2.0566,                 2.6343,              0.0013369,              0.0013369,              0.0013369
