                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6367,                 4.9331,                 4.1387,                0.00072,                0.11885,                0.00157,                0.00046,                 3.4564,                 4.9562,                 4.0446,             0.00012737,             0.00012737,             0.00012737
                      2,                 3.2321,                 4.1104,                 3.5827,                0.00596,                0.23785,                0.01316,                 0.0038,                 2.8294,                 4.2761,                 3.3426,             0.00025317,             0.00025317,             0.00025317
                      3,                 2.7637,                  3.726,                 3.0774,                0.36108,                0.07918,                0.03268,                0.00905,                  2.631,                 3.8786,                 3.0428,             0.00037643,             0.00037643,             0.00037643
                      4,                 2.4996,                 3.3863,                  2.762,                0.51132,                0.08555,                0.05621,                0.01919,                 2.5209,                 3.4294,                 2.8639,             0.00037357,             0.00037357,             0.00037357
                      5,                 2.3575,                 3.1608,                 2.5952,                0.44477,                 0.1155,                0.10155,                0.03666,                 2.2866,                 3.1179,                 2.7136,             0.00036975,             0.00036975,             0.00036975
                      6,                 2.2615,                  2.961,                 2.4893,                0.40485,                0.15481,                0.11081,                0.04331,                 2.2015,                 2.9975,                 2.5808,             0.00036594,             0.00036594,             0.00036594
                      7,                 2.2023,                 2.8314,                 2.4169,                0.41157,                0.19351,                0.14789,                0.05742,                 2.2006,                 2.8088,                   2.54,             0.00036213,             0.00036213,             0.00036213
                      8,                 2.1408,                 2.6874,                 2.3516,                0.34881,                0.18437,                0.17714,                 0.0715,                 2.1543,                 2.6019,                 2.4753,             0.00035832,             0.00035832,             0.00035832
                      9,                 2.0819,                 2.5863,                 2.2888,                0.38593,                0.21576,                 0.2011,                0.08412,                 2.0737,                  2.488,                 2.4215,             0.00035451,             0.00035451,             0.00035451
                     10,                 2.0491,                 2.4836,                  2.258,                0.43261,                 0.2355,                0.19781,                0.08501,                 2.1074,                 2.4593,                 2.4244,              0.0003507,              0.0003507,              0.0003507
                     11,                 2.0162,                 2.3999,                 2.2165,                0.43081,                0.26984,                0.23681,                0.10989,                 1.9936,                 2.3622,                 2.3331,             0.00034689,             0.00034689,             0.00034689
                     12,                  1.969,                 2.3504,                  2.183,                0.45717,                0.21735,                0.21508,                0.09093,                  2.073,                 2.4538,                 2.4341,             0.00034307,             0.00034307,             0.00034307
                     13,                 1.9587,                 2.2856,                 2.1685,                0.46383,                0.28929,                0.27304,                0.12184,                 1.9863,                 2.2037,                 2.3083,             0.00033926,             0.00033926,             0.00033926
                     14,                  1.904,                 2.2387,                 2.1199,                0.50044,                0.30456,                 0.2649,                0.12346,                  1.991,                 2.1423,                 2.3077,             0.00033545,             0.00033545,             0.00033545
                     15,                 1.8919,                 2.1581,                 2.1025,                  0.504,                0.28046,                0.27219,                0.11888,                 2.0126,                 2.2076,                 2.3002,             0.00033164,             0.00033164,             0.00033164
                     16,                 1.8703,                 2.1311,                 2.0885,                0.42474,                0.29047,                 0.2717,                0.12213,                 1.9723,                  2.213,                  2.302,             0.00032783,             0.00032783,             0.00032783
                     17,                 1.8467,                 2.0988,                 2.0648,                 0.4607,                0.30617,                0.29048,                 0.1285,                 1.9855,                 2.0707,                 2.2971,             0.00032402,             0.00032402,             0.00032402
                     18,                  1.831,                 2.0579,                 2.0419,                0.51627,                0.32995,                0.29217,                0.13691,                 1.9278,                 2.0181,                 2.2283,              0.0003202,              0.0003202,              0.0003202
                     19,                 1.7952,                 2.0065,                 2.0102,                0.54528,                0.29858,                0.30402,                0.13976,                 1.9184,                 2.0314,                 2.2379,             0.00031639,             0.00031639,             0.00031639
                     20,                 1.7871,                 1.9909,                 2.0028,                0.44239,                0.32523,                0.31209,                0.14846,                 1.9244,                 1.9816,                 2.2173,             0.00031258,             0.00031258,             0.00031258
                     21,                 1.7699,                  1.947,                 1.9822,                0.52737,                0.32586,                0.32271,                0.15454,                 1.8968,                 1.9826,                 2.2025,             0.00030877,             0.00030877,             0.00030877
                     22,                 1.7525,                 1.9133,                 1.9672,                0.53095,                0.32163,                0.32535,                 0.1491,                 1.9868,                 1.9525,                 2.2765,             0.00030496,             0.00030496,             0.00030496
                     23,                 1.7439,                 1.8913,                 1.9619,                0.55099,                0.35602,                0.34837,                0.16438,                 1.9329,                 1.8936,                 2.2324,             0.00030115,             0.00030115,             0.00030115
